""	"filename"	"timepoint"	"sample.id"	"GEO_filename"
"186"	"186.CEL"	"cit1"	"119"	"GSM3625194_186.CEL.gz"
"187"	"187.CEL"	"cit2"	"119"	"GSM3625195_187.CEL.gz"
"210"	"210.CEL"	"cit1"	"75"	"GSM3625196_210.CEL.gz"
"211"	"211.CEL"	"cit2"	"75"	"GSM3625197_211.CEL.gz"
"213"	"213.CEL"	"cit1"	"158"	"GSM3625198_213.CEL.gz"
"214"	"214.CEL"	"cit2"	"158"	"GSM3625199_214.CEL.gz"
"216"	"216.CEL"	"cit1"	"91"	"GSM3625200_216.CEL.gz"
"217"	"217.CEL"	"cit2"	"91"	"GSM3625201_217.CEL.gz"
"220"	"220.CEL"	"cit1"	"105"	"GSM3625203_220.CEL.gz"
"221"	"221.CEL"	"cit2"	"105"	"GSM3625204_221.CEL.gz"
"223"	"223.CEL"	"cit1"	"130"	"GSM3625206_223.CEL.gz"
"224"	"224.CEL"	"cit2"	"130"	"GSM3625207_224.CEL.gz"
"231"	"231.CEL"	"cit1"	"98"	"GSM3625208_231.CEL.gz"
"232"	"232.CEL"	"cit2"	"98"	"GSM3625209_232.CEL.gz"
"242"	"242.CEL"	"cit1"	"140"	"GSM3625210_242.CEL.gz"
"243"	"243.CEL"	"cit2"	"140"	"GSM3625211_243.CEL.gz"
"257"	"257.CEL"	"cit1"	"114"	"GSM3625212_257.CEL.gz"
"258"	"258.CEL"	"cit2"	"114"	"GSM3625213_258.CEL.gz"
"260"	"260.CEL"	"cit1"	"126"	"GSM3625214_260.CEL.gz"
"261"	"261.CEL"	"cit2"	"126"	"GSM3625215_261.CEL.gz"
"263"	"263.CEL"	"cit1"	"219"	"GSM3625216_263.CEL.gz"
"264"	"264.CEL"	"cit2"	"219"	"GSM3625217_264.CEL.gz"
"266"	"266.CEL"	"cit1"	"112"	"GSM3625218_266.CEL.gz"
"267"	"267.CEL"	"cit2"	"112"	"GSM3625219_267.CEL.gz"
"270"	"270.CEL"	"cit1"	"227"	"GSM3625220_270.CEL.gz"
"271"	"271.CEL"	"cit2"	"227"	"GSM3625221_271.CEL.gz"
"277"	"277.CEL"	"cit1"	"84"	"GSM3625222_277.CEL.gz"
"278"	"278.CEL"	"cit2"	"84"	"GSM3625223_278.CEL.gz"
"279"	"279.CEL"	"cit1"	"223"	"GSM3625225_279.CEL.gz"
"280"	"280.CEL"	"cit2"	"223"	"GSM3625226_280.CEL.gz"
"302"	"302.CEL"	"cit1"	"44"	"GSM3625228_302.CEL.gz"
"303"	"303.CEL"	"cit2"	"44"	"GSM3625229_303.CEL.gz"
"312"	"312.CEL"	"cit1"	"212"	"GSM3625230_312.CEL.gz"
"313"	"313.CEL"	"cit2"	"212"	"GSM3625231_313.CEL.gz"
"317"	"317.CEL"	"cit1"	"136"	"GSM3625232_317.CEL.gz"
"318"	"318.CEL"	"cit2"	"136"	"GSM3625233_318.CEL.gz"
"326"	"326.CEL"	"cit1"	"68"	"GSM3625234_326.CEL.gz"
"327"	"327.CEL"	"cit2"	"68"	"GSM3625235_327.CEL.gz"
"332"	"332.CEL"	"cit1"	"55"	"GSM3625236_332.CEL.gz"
"333"	"333.CEL"	"cit2"	"55"	"GSM3625237_333.CEL.gz"
"336"	"336.CEL"	"cit1"	"175"	"GSM3625238_336.CEL.gz"
"337"	"337.CEL"	"cit2"	"175"	"GSM3625239_337.CEL.gz"
"346"	"346.CEL"	"cit1"	"110"	"GSM3625240_346.CEL.gz"
"347"	"347.CEL"	"cit2"	"110"	"GSM3625241_347.CEL.gz"
"348"	"348.CEL"	"cit1"	"101"	"GSM3625242_348.CEL.gz"
"349"	"349.CEL"	"cit2"	"101"	"GSM3625243_349.CEL.gz"
"358"	"358.CEL"	"cit1"	"79"	"GSM3625244_358.CEL.gz"
"359"	"359.CEL"	"cit2"	"79"	"GSM3625246_359.CEL.gz"
"362"	"362.CEL"	"cit1"	"222"	"GSM3625247_362.CEL.gz"
"363"	"363.CEL"	"cit2"	"222"	"GSM3625248_363.CEL.gz"
"371"	"371.CEL"	"cit1"	"150"	"GSM3625250_371.CEL.gz"
"372"	"372.CEL"	"cit2"	"150"	"GSM3625251_372.CEL.gz"
"373"	"373.CEL"	"cit1"	"86"	"GSM3625252_373.CEL.gz"
"374"	"374.CEL"	"cit2"	"86"	"GSM3625253_374.CEL.gz"
"377"	"377.CEL"	"cit1"	"62"	"GSM3625254_377.CEL.gz"
"378"	"378.CEL"	"cit2"	"62"	"GSM3625255_378.CEL.gz"
"394"	"394.CEL"	"cit1"	"170"	"GSM3625256_394.CEL.gz"
"395"	"395.CEL"	"cit2"	"170"	"GSM3625257_395.CEL.gz"
"409"	"409.CEL"	"cit1"	"81"	"GSM3625258_409.CEL.gz"
"410"	"410.CEL"	"cit2"	"81"	"GSM3625259_410.CEL.gz"
"411"	"411.CEL"	"cit1"	"54"	"GSM3625260_411.CEL.gz"
"412"	"412.CEL"	"cit2"	"54"	"GSM3625261_412.CEL.gz"
"418"	"418.CEL"	"cit1"	"123"	"GSM3625262_418.CEL.gz"
"419"	"419.CEL"	"cit2"	"123"	"GSM3625263_419.CEL.gz"
"420"	"420.CEL"	"cit1"	"78"	"GSM3625264_420.CEL.gz"
"421"	"421.CEL"	"cit2"	"78"	"GSM3625265_421.CEL.gz"
"438"	"438.CEL"	"cit1"	"159"	"GSM3625266_438.CEL.gz"
"439"	"439.CEL"	"cit2"	"159"	"GSM3625267_439.CEL.gz"
"441"	"441.CEL"	"cit1"	"167"	"GSM3625268_441.CEL.gz"
"442"	"442.CEL"	"cit2"	"167"	"GSM3625269_442.CEL.gz"
"447"	"447.CEL"	"cit1"	"102"	"GSM3625270_447.CEL.gz"
"448"	"448.CEL"	"cit2"	"102"	"GSM3625271_448.CEL.gz"
"451"	"451.CEL"	"cit1"	"134"	"GSM3625272_451.CEL.gz"
"452"	"452.CEL"	"cit2"	"134"	"GSM3625273_452.CEL.gz"
"453"	"453.CEL"	"cit1"	"104"	"GSM3625274_453.CEL.gz"
"454"	"454.CEL"	"cit2"	"104"	"GSM3625275_454.CEL.gz"
"469"	"469.CEL"	"cit1"	"180"	"GSM3625276_469.CEL.gz"
"470"	"470.CEL"	"cit2"	"180"	"GSM3625277_470.CEL.gz"
"473"	"473.CEL"	"cit1"	"43"	"GSM3625278_473.CEL.gz"
"474"	"474.CEL"	"cit2"	"43"	"GSM3625279_474.CEL.gz"
"500"	"500.CEL"	"cit1"	"67"	"GSM3625280_500.CEL.gz"
"501"	"501.CEL"	"cit2"	"67"	"GSM3625281_501.CEL.gz"
"506"	"506.CEL"	"cit1"	"49"	"GSM3625282_506.CEL.gz"
"507"	"507.CEL"	"cit2"	"49"	"GSM3625283_507.CEL.gz"
"509"	"509.CEL"	"cit1"	"131"	"GSM3625284_509.CEL.gz"
"510"	"510.CEL"	"cit2"	"131"	"GSM3625285_510.CEL.gz"
"512"	"512.CEL"	"cit1"	"183"	"GSM3625286_512.CEL.gz"
"513"	"513.CEL"	"cit2"	"183"	"GSM3625287_513.CEL.gz"
"524"	"524.CEL"	"cit1"	"93"	"GSM3625288_524.CEL.gz"
"525"	"525.CEL"	"cit2"	"93"	"GSM3625289_525.CEL.gz"
