""	"filename"	"timepoint"	"sample.id"	"GEO_filename"
"571.cit"	"U133Plus2_121812H_SK9_571_CIT.CEL"	"cit"	"571"	"GSM3622418_U133Plus2_121812H_SK9_571_CIT.CEL.gz"
"571.rep2h"	"U133Plus2_121812H_SK10_571_2H.CEL"	"rep.2h"	"571"	"GSM3622419_U133Plus2_121812H_SK10_571_2H.CEL.gz"
"645.cit"	"U133Plus2_121812H_SK11_645_CIT.CEL"	"cit"	"645"	"GSM3622421_U133Plus2_121812H_SK11_645_CIT.CEL.gz"
"645.rep2h"	"U133Plus2_121812H_SK12_645_2H.CEL"	"rep.2h"	"645"	"GSM3622422_U133Plus2_121812H_SK12_645_2H.CEL.gz"
"575.cit"	"U133Plus2_121812H_SK17_575_C.CEL"	"cit"	"575"	"GSM3622423_U133Plus2_121812H_SK17_575_C.CEL.gz"
"575.rep2h"	"U133Plus2_121812H_SK18_575_R.CEL"	"rep.2h"	"575"	"GSM3622425_U133Plus2_121812H_SK18_575_R.CEL.gz"
"659.cit"	"U133Plus2_121812H_SK19_659_CIT.CEL"	"cit"	"659"	"GSM3622426_U133Plus2_121812H_SK19_659_CIT.CEL.gz"
"659.rep2h"	"U133Plus2_121812H_SK20_659_2H.CEL"	"rep.2h"	"659"	"GSM3622427_U133Plus2_121812H_SK20_659_2H.CEL.gz"
"578.cit"	"U133Plus2_121812H_SK21_578_CIT.CEL"	"cit"	"578"	"GSM3622429_U133Plus2_121812H_SK21_578_CIT.CEL.gz"
"578.rep2h"	"U133Plus2_121812H_SK22_578_2H.CEL"	"rep.2h"	"578"	"GSM3622430_U133Plus2_121812H_SK22_578_2H.CEL.gz"
"627.cit"	"U133Plus2_121812H_SK23_627_CIT.CEL"	"cit"	"627"	"GSM3622431_U133Plus2_121812H_SK23_627_CIT.CEL.gz"
"627.rep2h"	"U133Plus2_121812H_SK24_627_2H.CEL"	"rep.2h"	"627"	"GSM3622433_U133Plus2_121812H_SK24_627_2H.CEL.gz"
"589.cit"	"U133Plus2_121812H_SK25_589_CIT.CEL"	"cit"	"589"	"GSM3622434_U133Plus2_121812H_SK25_589_CIT.CEL.gz"
"589.rep2h"	"U133Plus2_121812H_SK26_589_2H.CEL"	"rep.2h"	"589"	"GSM3622435_U133Plus2_121812H_SK26_589_2H.CEL.gz"
"833.cit"	"U133Plus2_121812H_SK27_833_CIT.CEL"	"cit"	"833"	"GSM3622436_U133Plus2_121812H_SK27_833_CIT.CEL.gz"
"833.rep2h"	"U133Plus2_121812H_SK28_833_2H.CEL"	"rep.2h"	"833"	"GSM3622438_U133Plus2_121812H_SK28_833_2H.CEL.gz"
"605.cit"	"U133Plus2_121812H_SK29_605_CIT.CEL"	"cit"	"605"	"GSM3622439_U133Plus2_121812H_SK29_605_CIT.CEL.gz"
"605.rep2h"	"U133Plus2_121812H_SK30_605_R.CEL"	"rep.2h"	"605"	"GSM3622441_U133Plus2_121812H_SK30_605_R.CEL.gz"
"864.cit"	"U133Plus2_122012H_SK31_864_CIT.CEL"	"cit"	"864"	"GSM3622442_U133Plus2_122012H_SK31_864_CIT.CEL.gz"
"864.rep2h"	"U133Plus2_122012H_SK32_864_2H.CEL"	"rep.2h"	"864"	"GSM3622443_U133Plus2_122012H_SK32_864_2H.CEL.gz"
"607.cit"	"U133Plus2_122012H_SK33_607_CIT.CEL"	"cit"	"607"	"GSM3622445_U133Plus2_122012H_SK33_607_CIT.CEL.gz"
"607.rep2h"	"U133Plus2_122012H_SK34_607_2H.CEL"	"rep.2h"	"607"	"GSM3622446_U133Plus2_122012H_SK34_607_2H.CEL.gz"
"635.cit"	"U133Plus2_122012H_SK35_635_CIT.CEL"	"cit"	"635"	"GSM3622447_U133Plus2_122012H_SK35_635_CIT.CEL.gz"
"635.rep2h"	"U133Plus2_122012H_SK36_635_2H.CEL"	"rep.2h"	"635"	"GSM3622449_U133Plus2_122012H_SK36_635_2H.CEL.gz"
"614.cit"	"U133Plus2_122012H_SK37_614_CIT.CEL"	"cit"	"614"	"GSM3622450_U133Plus2_122012H_SK37_614_CIT.CEL.gz"
"614.rep2h"	"U133Plus2_122012H_SK38_614_2H.CEL"	"rep.2h"	"614"	"GSM3622451_U133Plus2_122012H_SK38_614_2H.CEL.gz"
"853.cit"	"U133Plus2_122012H_SK39_853_CIT.CEL"	"cit"	"853"	"GSM3622453_U133Plus2_122012H_SK39_853_CIT.CEL.gz"
"853.rep2h"	"U133Plus2_122012H_SK40_853_2H.CEL"	"rep.2h"	"853"	"GSM3622454_U133Plus2_122012H_SK40_853_2H.CEL.gz"
"639.cit"	"U133Plus2_122012H_SK43_639_CIT.CEL"	"cit"	"639"	"GSM3622455_U133Plus2_122012H_SK43_639_CIT.CEL.gz"
"639.rep2h"	"U133Plus2_122012H_SK44_639_2H.CEL"	"rep.2h"	"639"	"GSM3622457_U133Plus2_122012H_SK44_639_2H.CEL.gz"
"667.cit"	"U133Plus2_122012H_SK45_667_CIT.CEL"	"cit"	"667"	"GSM3622458_U133Plus2_122012H_SK45_667_CIT.CEL.gz"
"667.rep2h"	"U133Plus2_122012H_SK46_667_2H.CEL"	"rep.2h"	"667"	"GSM3622459_U133Plus2_122012H_SK46_667_2H.CEL.gz"
"728.cit"	"U133Plus2_122012H_SK47_728_CIT.CEL"	"cit"	"728"	"GSM3622461_U133Plus2_122012H_SK47_728_CIT.CEL.gz"
"728.rep2h"	"U133Plus2_122012H_SK48_728_2H.CEL"	"rep.2h"	"728"	"GSM3622462_U133Plus2_122012H_SK48_728_2H.CEL.gz"
"690.cit"	"U133Plus2_122012H_SK53_690_CIT.CEL"	"cit"	"690"	"GSM3622463_U133Plus2_122012H_SK53_690_CIT.CEL.gz"
"690.rep2h"	"U133Plus2_122012H_SK54_690_2H.CEL"	"rep.2h"	"690"	"GSM3622465_U133Plus2_122012H_SK54_690_2H.CEL.gz"
"652.cit"	"U133Plus2_010413H_SK65_652_CIT.CEL"	"cit"	"652"	"GSM3622466_U133Plus2_010413H_SK65_652_CIT.CEL.gz"
"652.rep2h"	"U133Plus2_010413H_SK66_652_2H.CEL"	"rep.2h"	"652"	"GSM3622467_U133Plus2_010413H_SK66_652_2H.CEL.gz"
"717.cit"	"U133Plus2_010413H_SK67_717_CIT.CEL"	"cit"	"717"	"GSM3622469_U133Plus2_010413H_SK67_717_CIT.CEL.gz"
"717.rep2h"	"U133Plus2_010413H_SK68_717_2H.CEL"	"rep.2h"	"717"	"GSM3622470_U133Plus2_010413H_SK68_717_2H.CEL.gz"
"699.cit"	"U133Plus2_010413H_SK71_699_CIT.CEL"	"cit"	"699"	"GSM3622471_U133Plus2_010413H_SK71_699_CIT.CEL.gz"
"699.rep2h"	"U133Plus2_010413H_SK72_699_2H.CEL"	"rep.2h"	"699"	"GSM3622473_U133Plus2_010413H_SK72_699_2H.CEL.gz"
"679.cit"	"U133Plus2_010413H_SK77_679_CIT.CEL"	"cit"	"679"	"GSM3622474_U133Plus2_010413H_SK77_679_CIT.CEL.gz"
"679.rep2h"	"U133Plus2_010413H_SK78_679_2H.CEL"	"rep.2h"	"679"	"GSM3622475_U133Plus2_010413H_SK78_679_2H.CEL.gz"
"757.cit"	"U133Plus2_010413H_SK79_757_CIT_B.CEL"	"cit"	"757"	"GSM3622477_U133Plus2_010413H_SK79_757_CIT_B.CEL.gz"
"757.rep2h"	"U133Plus2_010413H_SK80_757_2H.CEL"	"rep.2h"	"757"	"GSM3622478_U133Plus2_010413H_SK80_757_2H.CEL.gz"
"684.cit"	"U133Plus2_010413H_SK81_684_CIT.CEL"	"cit"	"684"	"GSM3622479_U133Plus2_010413H_SK81_684_CIT.CEL.gz"
"684.rep2h"	"U133Plus2_010413H_SK82_684_2H.CEL"	"rep.2h"	"684"	"GSM3622481_U133Plus2_010413H_SK82_684_2H.CEL.gz"
"686.cit"	"U133Plus2_010413H_SK85_686_CIT.CEL"	"cit"	"686"	"GSM3622482_U133Plus2_010413H_SK85_686_CIT.CEL.gz"
"686.rep2h"	"U133Plus2_010413H_SK86_686_2H.CEL"	"rep.2h"	"686"	"GSM3622483_U133Plus2_010413H_SK86_686_2H.CEL.gz"
"824.cit"	"U133Plus2_010813H_SK91_824_CIT.CEL"	"cit"	"824"	"GSM3622485_U133Plus2_010813H_SK91_824_CIT.CEL.gz"
"824.rep2h"	"U133Plus2_010813H_SK92_824_2H.CEL"	"rep.2h"	"824"	"GSM3622486_U133Plus2_010813H_SK92_824_2H.CEL.gz"
"705.cit"	"U133Plus2_010813H_SK93_705_CIT.CEL"	"cit"	"705"	"GSM3622487_U133Plus2_010813H_SK93_705_CIT.CEL.gz"
"705.rep2h"	"U133Plus2_010813H_SK94_705_2H.CEL"	"rep.2h"	"705"	"GSM3622489_U133Plus2_010813H_SK94_705_2H.CEL.gz"
"719.cit"	"U133Plus2_010813H_SK97_719_CIT.CEL"	"cit"	"719"	"GSM3622490_U133Plus2_010813H_SK97_719_CIT.CEL.gz"
"719.rep2h"	"U133Plus2_010813H_SK98_719_2H.CEL"	"rep.2h"	"719"	"GSM3622492_U133Plus2_010813H_SK98_719_2H.CEL.gz"
"855.cit"	"U133Plus2_010813H_SK99_855_CIT.CEL"	"cit"	"855"	"GSM3622493_U133Plus2_010813H_SK99_855_CIT.CEL.gz"
"855.rep2h"	"U133Plus2_010813H_SK100_855_2H.CEL"	"rep.2h"	"855"	"GSM3622494_U133Plus2_010813H_SK100_855_2H.CEL.gz"
"747.cit"	"U133Plus2_010813H_SK101_747_CIT.CEL"	"cit"	"747"	"GSM3622496_U133Plus2_010813H_SK101_747_CIT.CEL.gz"
"747.rep2h"	"U133Plus2_010813H_SK102_747_2H.CEL"	"rep.2h"	"747"	"GSM3622497_U133Plus2_010813H_SK102_747_2H.CEL.gz"
"626.cit"	"U133Plus2_010813H_SK103_626_CIT.CEL"	"cit"	"626"	"GSM3622499_U133Plus2_010813H_SK103_626_CIT.CEL.gz"
"626.rep2h"	"U133Plus2_010813H_SK104_626_2H.CEL"	"rep.2h"	"626"	"GSM3622500_U133Plus2_010813H_SK104_626_2H.CEL.gz"
"758.cit"	"U133Plus2_010813H_SK105_758_CIT.CEL"	"cit"	"758"	"GSM3622502_U133Plus2_010813H_SK105_758_CIT.CEL.gz"
"758.rep2h"	"U133Plus2_010813H_SK106_758_2H.CEL"	"rep.2h"	"758"	"GSM3622503_U133Plus2_010813H_SK106_758_2H.CEL.gz"
